Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
888,2023-24,Monmouth,33,18,15,0.545,68.0,106.4,106.7,0.493,0.525,13.2,30.6,67.7,0.293,0.5,0.539,15.3,32.3,69.4,0.333
889,2022-23,Monmouth,33,7,26,0.212,68.4,90.2,109.2,0.438,0.474,18.1,30.3,67.1,0.331,0.544,0.577,18.2,32.9,69.7,0.388
890,2021-22,Monmouth,34,21,13,0.618,67.1,101.5,99.6,0.475,0.518,15.0,29.4,72.1,0.369,0.473,0.512,15.4,27.9,70.6,0.336
891,2020-21,Monmouth,20,12,8,0.6,74.5,100.3,97.9,0.485,0.525,15.6,25.7,71.5,0.382,0.486,0.524,18.3,28.5,74.3,0.384
892,2019-20,Monmouth,31,18,13,0.581,72.1,98.5,97.6,0.471,0.513,15.6,25.5,71.1,0.356,0.495,0.536,19.8,28.9,74.5,0.417
893,2023-24,Missouri State,33,17,16,0.515,68.4,102.6,102.7,0.497,0.53,15.2,29.1,75.3,0.315,0.48,0.509,11.5,24.7,70.9,0.249
894,2022-23,Missouri State,32,17,15,0.531,63.0,102.9,99.1,0.506,0.524,16.4,33.5,73.4,0.27,0.487,0.521,16.4,26.6,66.5,0.296
895,2021-22,Missouri State,34,23,11,0.676,68.1,112.7,100.4,0.553,0.587,13.9,25.1,76.8,0.277,0.484,0.52,13.9,23.2,74.9,0.277
896,2020-21,Missouri State,24,17,7,0.708,68.7,106.9,96.7,0.546,0.576,16.6,24.8,77.9,0.312,0.468,0.497,13.3,22.1,75.2,0.275
897,2019-20,Missouri State,33,16,17,0.485,68.6,102.6,98.5,0.498,0.533,17.0,31.9,77.3,0.288,0.496,0.531,16.4,22.7,68.1,0.332
898,2023-24,Missouri,32,8,24,0.25,68.4,105.0,110.9,0.502,0.546,14.9,26.8,64.3,0.317,0.513,0.558,15.8,35.7,73.2,0.424
899,2022-23,Missouri,35,25,10,0.714,70.0,112.0,105.6,0.55,0.58,14.1,26.3,62.8,0.291,0.523,0.561,20.3,37.2,73.7,0.342
900,2021-22,Missouri,33,12,21,0.364,67.4,96.8,104.2,0.472,0.51,18.3,32.0,70.3,0.3,0.506,0.538,15.8,29.7,68.0,0.354
901,2020-21,Missouri,26,16,10,0.615,70.4,103.3,101.2,0.508,0.542,16.4,28.3,71.3,0.371,0.485,0.525,15.7,28.7,71.7,0.366
902,2019-20,Missouri,31,15,16,0.484,67.1,99.3,96.4,0.47,0.521,18.0,31.4,72.3,0.357,0.463,0.519,18.3,27.7,68.6,0.478
903,2023-24,Mississippi Valley State,31,1,30,0.032,66.2,83.4,116.8,0.425,0.461,21.0,27.9,64.3,0.33,0.556,0.588,14.7,35.7,72.1,0.416
904,2022-23,Mississippi Valley State,32,5,27,0.156,68.2,88.7,108.7,0.454,0.492,20.7,28.6,67.6,0.38,0.533,0.563,16.8,32.4,71.4,0.398
905,2021-22,Mississippi Valley State,28,2,26,0.071,72.6,90.5,111.8,0.444,0.476,15.9,23.3,66.2,0.313,0.566,0.593,18.0,33.8,76.7,0.364
906,2020-21,Mississippi Valley State,24,2,22,0.083,73.9,76.9,118.3,0.436,0.453,22.2,18.0,64.3,0.246,0.549,0.57,12.5,35.7,82.0,0.325
907,2019-20,Mississippi Valley State,30,3,27,0.1,78.9,86.1,113.1,0.43,0.454,16.1,23.4,64.1,0.229,0.54,0.566,15.0,35.9,76.6,0.361
908,2023-24,Mississippi State,35,21,14,0.6,68.7,107.5,100.2,0.514,0.543,16.0,35.4,72.2,0.374,0.48,0.521,16.0,27.8,64.6,0.318
909,2022-23,Mississippi State,34,21,13,0.618,64.9,99.8,92.6,0.467,0.497,16.2,35.5,71.4,0.338,0.462,0.496,18.9,28.6,64.5,0.276
910,2021-22,Mississippi State,34,18,16,0.529,66.6,104.6,98.3,0.496,0.536,16.7,34.1,74.3,0.381,0.496,0.528,17.3,25.7,65.9,0.283
911,2020-21,Mississippi State,33,18,15,0.545,67.2,101.6,98.0,0.502,0.528,18.7,35.8,72.5,0.337,0.471,0.504,15.1,27.5,64.2,0.248
912,2019-20,Mississippi State,31,20,11,0.645,67.3,109.0,101.2,0.515,0.559,17.5,37.0,71.7,0.395,0.481,0.519,14.9,28.3,63.0,0.316
913,2023-24,Minnesota,34,19,15,0.559,67.7,110.3,105.7,0.541,0.567,15.4,30.7,71.2,0.347,0.504,0.536,14.0,28.8,69.3,0.296
914,2022-23,Minnesota,31,9,22,0.29,65.4,95.4,107.8,0.49,0.511,17.4,25.0,69.2,0.308,0.505,0.531,12.7,30.8,75.0,0.248
915,2021-22,Minnesota,30,13,17,0.433,65.5,101.5,104.9,0.507,0.532,12.7,17.5,72.6,0.236,0.512,0.535,13.9,27.4,82.5,0.233
916,2020-21,Minnesota,29,14,15,0.483,70.7,101.2,102.2,0.45,0.499,13.3,29.2,68.6,0.367,0.497,0.53,16.4,31.4,70.8,0.343
917,2019-20,Minnesota,31,15,16,0.484,67.3,104.9,97.7,0.494,0.521,14.2,31.3,72.1,0.275,0.456,0.49,13.7,27.9,68.7,0.28
918,2023-24,Milwaukee,35,20,15,0.571,70.9,110.2,109.0,0.509,0.545,14.7,35.9,68.3,0.341,0.504,0.542,13.7,31.7,64.1,0.33
919,2022-23,Milwaukee,34,22,12,0.647,72.3,106.2,100.7,0.523,0.557,17.8,33.6,67.9,0.33,0.472,0.507,15.8,32.1,66.4,0.288
920,2021-22,Milwaukee,32,10,22,0.313,68.0,95.3,104.1,0.477,0.509,17.2,25.9,70.3,0.27,0.47,0.511,12.8,29.7,74.1,0.29
921,2020-21,Milwaukee,22,10,12,0.455,71.1,103.9,104.9,0.495,0.533,13.5,24.1,73.4,0.332,0.526,0.559,16.5,26.6,75.9,0.35
922,2019-20,Milwaukee,31,12,19,0.387,70.6,99.2,100.8,0.476,0.509,16.1,29.5,70.9,0.295,0.499,0.543,18.3,29.1,70.5,0.426
923,2023-24,Middle Tennessee,33,14,19,0.424,66.8,96.5,103.3,0.467,0.506,17.7,29.1,69.4,0.342,0.489,0.523,14.2,30.6,70.9,0.295
924,2022-23,Middle Tennessee,33,19,14,0.576,67.0,103.9,100.4,0.513,0.538,17.0,33.0,71.0,0.287,0.508,0.548,19.4,29.0,67.0,0.334
925,2021-22,Middle Tennessee,37,26,11,0.703,68.2,107.6,96.5,0.521,0.558,16.1,30.3,71.1,0.336,0.471,0.516,18.4,28.9,69.7,0.356
926,2020-21,Middle Tennessee,23,5,18,0.217,69.9,88.7,101.3,0.451,0.48,18.9,25.8,74.6,0.258,0.526,0.552,17.9,25.4,74.2,0.292
927,2019-20,Middle Tennessee,31,8,23,0.258,71.2,98.5,104.7,0.488,0.516,17.0,28.1,72.8,0.311,0.533,0.565,17.7,27.2,71.9,0.385
928,2023-24,Michigan State,35,20,15,0.571,66.4,109.4,99.1,0.516,0.544,13.0,29.8,71.5,0.293,0.481,0.517,16.2,28.5,70.2,0.324
929,2022-23,Michigan State,34,21,13,0.618,65.4,106.8,102.3,0.517,0.549,14.4,27.6,74.8,0.272,0.486,0.518,13.0,25.2,72.4,0.279
930,2021-22,Michigan State,36,23,13,0.639,67.9,106.4,101.7,0.52,0.553,16.3,30.7,72.9,0.299,0.481,0.512,13.3,27.1,69.3,0.283
931,2020-21,Michigan State,28,15,13,0.536,68.9,100.3,102.7,0.481,0.518,16.2,30.5,73.7,0.313,0.481,0.521,13.4,26.3,69.5,0.369
932,2019-20,Michigan State,31,22,9,0.71,69.4,109.4,93.3,0.526,0.56,15.6,32.8,74.0,0.308,0.433,0.47,13.8,26.0,67.2,0.293
933,2023-24,Michigan,32,8,24,0.25,68.9,104.6,113.3,0.512,0.542,16.1,30.6,69.6,0.32,0.525,0.555,11.9,30.4,69.4,0.305
934,2022-23,Michigan,34,18,16,0.529,67.4,106.4,101.0,0.516,0.545,13.5,25.6,74.2,0.308,0.479,0.507,12.6,25.8,74.4,0.258
935,2021-22,Michigan,34,19,15,0.559,67.5,107.7,102.9,0.521,0.554,15.1,31.0,76.0,0.294,0.497,0.527,13.1,24.0,69.0,0.256
936,2020-21,Michigan,28,23,5,0.821,67.8,111.3,95.5,0.547,0.581,14.7,28.9,75.9,0.304,0.444,0.481,12.9,24.1,71.1,0.243
937,2019-20,Michigan,31,19,12,0.613,69.3,107.0,97.3,0.528,0.554,13.6,25.0,74.5,0.267,0.469,0.498,14.1,25.5,75.0,0.264
938,2023-24,Miami (OH),32,15,17,0.469,68.5,102.6,101.8,0.515,0.545,15.3,23.7,70.4,0.317,0.485,0.521,15.7,29.6,76.3,0.315
939,2022-23,Miami (OH),32,12,20,0.375,69.4,105.7,107.0,0.526,0.565,17.3,27.6,68.9,0.313,0.525,0.56,16.7,31.1,72.4,0.36
940,2021-22,Miami (OH),32,14,18,0.438,68.9,108.3,105.7,0.513,0.546,13.1,27.2,70.9,0.241,0.517,0.547,15.7,29.1,72.8,0.295
941,2020-21,Miami (OH),23,12,11,0.522,67.4,106.7,105.6,0.509,0.542,13.9,27.9,71.7,0.254,0.521,0.547,15.8,28.3,72.1,0.27
942,2019-20,Miami (OH),32,13,19,0.406,69.2,102.5,102.8,0.494,0.524,14.4,25.9,72.1,0.267,0.505,0.535,15.8,27.9,74.1,0.355
943,2023-24,Miami (FL),32,15,17,0.469,69.9,107.9,104.9,0.527,0.554,15.0,28.7,71.4,0.246,0.51,0.533,14.4,28.6,71.3,0.223
944,2022-23,Miami (FL),37,29,8,0.784,68.9,114.3,104.0,0.543,0.579,14.0,31.8,71.2,0.307,0.512,0.539,15.8,28.8,68.2,0.24
945,2021-22,Miami (FL),37,26,11,0.703,67.8,108.6,103.3,0.533,0.563,12.7,22.4,69.7,0.288,0.525,0.545,17.7,30.3,77.6,0.248
946,2020-21,Miami (FL),27,10,17,0.37,68.0,97.2,103.8,0.474,0.509,16.2,27.1,73.7,0.328,0.525,0.544,15.8,26.3,72.9,0.198
947,2019-20,Miami (FL),31,15,16,0.484,68.7,101.2,104.1,0.488,0.525,15.1,26.0,68.1,0.281,0.502,0.526,15.1,31.9,74.0,0.229
948,2023-24,Merrimack,33,21,12,0.636,68.6,100.0,94.6,0.505,0.541,17.1,23.5,65.6,0.342,0.467,0.502,20.0,34.4,76.5,0.311
949,2022-23,Merrimack,34,18,16,0.529,67.1,93.2,92.8,0.491,0.524,19.1,20.8,65.2,0.343,0.477,0.507,22.1,34.8,79.2,0.257
950,2021-22,Merrimack,30,14,16,0.467,64.0,95.2,99.7,0.488,0.512,16.4,22.2,64.0,0.262,0.486,0.521,19.4,36.0,77.8,0.331
951,2020-21,Merrimack,18,9,9,0.5,68.0,96.8,97.4,0.514,0.538,18.1,20.8,68.4,0.31,0.48,0.515,18.8,31.6,79.2,0.329
952,2019-20,Merrimack,31,20,11,0.645,64.4,96.4,92.4,0.493,0.517,16.3,23.2,66.0,0.254,0.469,0.511,22.8,34.0,76.8,0.37
953,2023-24,Mercer,33,16,17,0.485,67.5,105.4,106.4,0.502,0.527,14.1,31.2,69.0,0.288,0.507,0.547,15.7,31.0,68.8,0.394
954,2022-23,Mercer,33,14,19,0.424,65.5,103.7,101.1,0.503,0.53,15.2,31.0,72.6,0.284,0.486,0.526,15.7,27.4,69.0,0.354
955,2021-22,Mercer,33,16,17,0.485,66.3,105.5,105.7,0.531,0.565,16.5,25.3,73.8,0.288,0.518,0.547,14.7,26.2,74.7,0.277
956,2020-21,Mercer,29,18,11,0.621,70.1,107.6,100.7,0.551,0.572,16.1,26.2,75.4,0.249,0.499,0.525,15.0,24.6,73.8,0.259
957,2019-20,Mercer,32,17,15,0.531,70.4,101.9,99.8,0.515,0.542,17.9,31.1,73.8,0.26,0.496,0.524,16.0,26.2,68.9,0.347
958,2023-24,Memphis,32,22,10,0.688,72.0,110.9,104.4,0.528,0.563,15.5,33.4,66.4,0.363,0.5,0.531,16.3,33.6,66.6,0.296
959,2022-23,Memphis,35,26,9,0.743,72.2,108.7,98.3,0.53,0.567,16.0,31.2,67.4,0.354,0.467,0.511,17.8,32.6,68.8,0.344
