Rk,Season,Team,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_DRB%,opp_FTr
960,2021-22,Memphis,33,22,11,0.667,71.0,105.8,96.2,0.523,0.555,19.1,37.4,69.1,0.378,0.466,0.502,17.6,30.9,62.6,0.332
961,2020-21,Memphis,28,20,8,0.714,72.0,100.5,87.0,0.509,0.528,18.5,33.5,76.3,0.327,0.444,0.483,19.6,23.7,66.5,0.353
962,2019-20,Memphis,31,21,10,0.677,73.1,97.7,88.1,0.497,0.532,19.6,30.0,70.6,0.399,0.412,0.456,17.3,29.4,70.0,0.35
963,2023-24,McNeese State,34,30,4,0.882,67.6,118.3,92.1,0.552,0.578,12.3,33.5,69.9,0.373,0.466,0.503,20.9,30.1,66.5,0.317
964,2022-23,McNeese State,34,11,23,0.324,67.9,100.8,109.9,0.496,0.52,18.1,33.9,69.1,0.287,0.545,0.574,16.6,30.9,66.1,0.344
965,2021-22,McNeese State,33,11,22,0.333,74.2,103.0,102.1,0.502,0.53,18.1,36.1,72.7,0.366,0.508,0.546,17.2,27.3,63.9,0.377
966,2020-21,McNeese State,24,10,14,0.417,73.3,109.5,97.9,0.563,0.583,17.8,31.4,74.5,0.286,0.511,0.534,18.5,25.5,68.6,0.282
967,2019-20,McNeese State,32,15,17,0.469,71.8,109.7,103.2,0.57,0.597,19.3,31.7,69.8,0.338,0.501,0.533,16.2,30.2,68.3,0.275
968,2023-24,Massachusetts,31,20,11,0.645,69.2,111.5,101.8,0.506,0.539,13.4,36.6,69.9,0.358,0.485,0.528,16.4,30.1,63.4,0.386
969,2022-23,Massachusetts,31,15,16,0.484,70.7,98.7,101.1,0.464,0.502,17.1,34.5,72.1,0.322,0.502,0.535,16.9,27.9,65.5,0.324
970,2021-22,Massachusetts,32,15,17,0.469,69.2,108.1,111.5,0.513,0.551,14.4,29.3,70.3,0.328,0.552,0.578,15.7,29.7,70.7,0.293
971,2020-21,Massachusetts,15,8,7,0.533,72.3,103.5,98.5,0.5,0.538,14.5,24.3,74.4,0.342,0.509,0.537,17.8,25.6,75.7,0.334
972,2019-20,Massachusetts,31,14,17,0.452,69.2,98.2,102.0,0.492,0.522,16.7,25.7,69.7,0.299,0.51,0.54,17.7,30.3,74.3,0.335
973,2023-24,Maryland Eastern Shore,29,9,20,0.31,68.3,94.2,102.0,0.452,0.492,17.2,29.4,68.5,0.325,0.496,0.528,16.9,31.5,70.6,0.365
974,2022-23,Maryland Eastern Shore,31,18,13,0.581,71.4,97.2,92.4,0.491,0.524,18.0,28.6,69.8,0.292,0.494,0.53,23.3,30.2,71.4,0.334
975,2021-22,Maryland Eastern Shore,27,11,16,0.407,70.1,93.1,93.8,0.471,0.497,18.9,29.4,71.4,0.305,0.496,0.528,21.7,28.6,70.6,0.352
976,2019-20,Maryland Eastern Shore,32,5,27,0.156,69.6,82.0,101.5,0.412,0.439,18.5,26.1,69.5,0.256,0.509,0.542,18.7,30.5,73.9,0.367
977,2023-24,Maryland,33,16,17,0.485,66.3,103.0,98.3,0.467,0.515,14.9,31.7,70.9,0.408,0.467,0.514,16.4,29.1,68.3,0.335
978,2022-23,Maryland,35,22,13,0.629,64.5,107.7,98.1,0.508,0.545,14.3,30.0,71.9,0.343,0.477,0.512,16.1,28.1,70.0,0.284
979,2021-22,Maryland,32,15,17,0.469,67.4,104.4,104.1,0.494,0.536,14.7,27.3,72.4,0.339,0.502,0.531,14.1,27.6,72.7,0.246
980,2020-21,Maryland,31,17,14,0.548,65.9,104.4,99.5,0.538,0.564,15.3,20.2,74.3,0.329,0.482,0.511,14.7,25.7,79.8,0.252
981,2019-20,Maryland,31,24,7,0.774,67.7,106.0,95.2,0.486,0.532,14.3,31.5,73.7,0.377,0.461,0.489,15.1,26.3,68.5,0.242
982,2023-24,Marshall,33,13,20,0.394,72.5,101.7,105.7,0.472,0.505,14.0,30.1,72.0,0.291,0.51,0.539,14.3,28.0,69.9,0.295
983,2022-23,Marshall,32,24,8,0.75,72.7,111.1,96.9,0.527,0.55,13.5,32.4,67.6,0.258,0.478,0.5,17.3,32.4,67.6,0.277
984,2021-22,Marshall,33,12,21,0.364,73.3,100.9,104.2,0.495,0.521,15.6,27.8,72.1,0.238,0.509,0.545,15.9,27.9,72.2,0.27
985,2020-21,Marshall,22,15,7,0.682,73.1,108.7,98.7,0.548,0.571,14.6,23.8,71.8,0.242,0.499,0.522,17.4,28.2,76.2,0.275
986,2019-20,Marshall,32,17,15,0.531,75.5,100.1,96.4,0.503,0.526,17.0,27.9,68.0,0.29,0.458,0.498,17.3,32.0,72.1,0.371
987,2023-24,Marquette,37,27,10,0.73,69.4,112.0,100.2,0.55,0.571,12.7,25.7,69.2,0.255,0.498,0.531,18.3,30.8,74.3,0.269
988,2022-23,Marquette,36,29,7,0.806,69.3,112.9,100.0,0.56,0.582,13.6,26.2,68.3,0.27,0.51,0.538,19.5,31.7,73.8,0.291
989,2021-22,Marquette,32,19,13,0.594,71.6,102.7,99.3,0.521,0.55,15.5,22.5,68.4,0.262,0.47,0.503,16.1,31.6,77.5,0.295
990,2020-21,Marquette,27,13,14,0.481,68.4,101.6,101.7,0.506,0.544,18.3,29.1,71.7,0.35,0.477,0.513,13.8,28.3,70.9,0.3
991,2019-20,Marquette,30,18,12,0.6,71.4,107.2,98.7,0.516,0.557,16.4,29.8,74.2,0.392,0.468,0.501,13.3,25.8,70.2,0.349
992,2023-24,Marist,31,18,13,0.581,65.5,98.6,94.9,0.508,0.536,16.8,23.0,73.2,0.298,0.471,0.506,18.0,26.8,77.0,0.35
993,2022-23,Marist,33,13,20,0.394,65.5,97.2,101.4,0.479,0.51,15.9,25.9,71.1,0.289,0.479,0.512,14.5,28.9,74.1,0.284
994,2021-22,Marist,30,14,16,0.467,66.9,101.5,100.6,0.504,0.531,16.0,26.4,72.8,0.25,0.483,0.517,14.7,27.2,73.6,0.285
